material_provider_id,name,contact_id,provider_address
1,"Jast, Hoppe and Walker",111,4 Steensland Alley
2,Trantow-Beier,112,0 Fair Oaks Parkway
3,Thompson-Bednar,113,89433 Lakewood Gardens Lane
4,Rau LLC,114,2472 Manitowish Street
5,Deckow-White,115,766 Fieldstone Plaza
6,Lesch Group,116,6569 Cody Plaza
7,Maggio LLC,117,7199 Oneill Point
8,"Mohr, Beier and Hackett",118,15 Maple Street
9,Stanton and Sons,119,8552 Corben Pass
10,Bergnaum-Gutmann,120,6075 Milwaukee Hill
11,Douglas-Schamberger,121,0 Stuart Court
12,"Zulauf, Orn and Parisian",122,0171 American Plaza
13,"Bartell, Leuschke and Welch",123,14589 Emmet Pass
14,Hilpert-Kihn,124,84400 Mifflin Alley
15,Ryan-Hamill,125,4760 Fairfield Junction
16,"Abbott, Steuber and Renner",126,718 Banding Alley
17,Ledner-Turner,127,31 Golf View Court
18,"Heaney, Roberts and Prosacco",128,3 Mendota Park
19,D'Amore-Lang,129,86 Arrowood Court
20,Batz and Sons,130,0 Grover Drive
